date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-09-16,7138624475.31,228088,60271600000,3637.75,1818400000,2112.5,119.91780546
2017-09-17,5034999229.68,197507,59757800000,3606.28,1239150000,2200,99.41066001
2017-09-18,6932868302.42,218077,59514100000,3591.09,1943210000,1587.5,168.30810036
2017-09-19,6686534393.43,282761,67520300000,4073.79,1563980000,1950,173.70341529
2017-09-20,6333634653.12,235606,64918500000,3916.36,1213830000,1462.5,146.40700953
2017-09-21,6533128092.17,255081,64677600000,3901.47,1411480000,2200,136.34884416
2017-09-22,5720887456.18,227476,60152300000,3628.02,1194830000,1737.5,117.1641681
2017-09-23,4014142522.24,203695,60190000000,3629.92,928114000,2075,99.69585805
2017-09-24,3647802335.17,185132,62954300000,3796.15,768015000,1812.5,83.67519444
2017-09-25,6352360019.08,226478,61061100000,3681.58,1374210000,1562.5,147.37049675
2017-09-26,6767415215.13,263510,65161000000,3928.41,1043740000,1725,150.08561133
2017-09-27,6953996512.05,257814,64579200000,3892.94,1686880000,1837.5,143.49865258
2017-09-28,8005723668.9,275799,69633200000,4197.13,1712320000,2212.5,134.45160224
2017-09-29,6921384214.32,254269,69219200000,4171.62,1367050000,2112.5,115.33216245
2017-09-30,6117273737.1,212540,69136600000,4166.11,1207450000,1725,101.44145793
2017-10-01,5393408388.52,203523,72047300000,4341.05,1208210000,1625,119.05349794
2017-10-02,7085722428.99,294852,72963200000,4395.81,1431730000,1875,180.47323995
2017-10-03,5502221558.15,281949,73181300000,4408.46,1288020000,2287.5,152.53441884
2017-10-04,4721678649.04,232692,71712500000,4319.37,1116770000,1675,136.73283395
2017-10-05,5756696356.16,273118,70233700000,4229.88,1161770000,1562.5,160.34424031
2017-10-06,4941275864.95,283540,71810600000,4324.46,1069940000,1987.5,149.02120217
2017-10-07,3833663481.86,231068,72565100000,4369.35,906928000,1975,108.21556432
2017-10-08,4765572899.39,238203,73575400000,4429.67,1313870000,2275,111.79647505
2017-10-09,10500282356.2,296785,76656500000,4614.52,1968740000,2012.5,149.34098656
2017-10-10,7720480607.97,302941,79351800000,4776.21,1597140000,2000,167.2582099
2017-10-11,7500621259.94,292320,79578200000,4789.25,1222280000,1737.5,148.17289183
2017-10-12,8328690405.08,293011,80256700000,4829.58,2791610000,1912.5,174.4145147
2017-10-13,8710528465.74,309683,90812400000,5464.16,3615480000,1700,281.53458216
2017-10-14,7436979779.12,292999,93803000000,5643.53,1669030000,1762.5,227.59563891
2017-10-15,6631326173.64,283278,97011900000,5835.96,1976040000,2437.5,162.7073282
2017-10-16,9828202678.13,314551,94559000000,5687.57,2008070000,2175,193.41946089
2017-10-17,14637440375.8,334274,95469300000,5741.58,1821570000,2050,209.13726138
2017-10-18,10358498062.6,329428,93190200000,5603.82,2399270000,1887.5,192.2026716
2017-10-19,9336231341.07,356807,92867000000,5583.74,1780540000,2225,191.51239568
2017-10-20,9450194220.24,312230,94947900000,5708.11,2354430000,2237.5,161.97244556
2017-10-21,8132101208.83,312104,99763200000,5996.79,2207100000,1912.5,167.76730117
2017-10-22,7672719185.27,288949,100438000000,6036.66,2034630000,2275,155.33193023
2017-10-23,14296685309.1,315925,99941600000,6006,2401840000,2137.5,185.64433949
2017-10-24,12064521030,347053,98781600000,5935.52,2735700000,2087.5,199.79056912
2017-10-25,9021986468.3,315230,91954200000,5524.6,1966990000,2312.5,141.97537543
2017-10-26,8733216874.17,265647,95685100000,5747.95,1905040000,2250,112.65051758
2017-10-27,9780217059.5,246588,98225400000,5899.74,1710130000,1300,166.66745997
2017-10-28,6965317470.54,206981,96369600000,5787.82,1403920000,1062.5,175.03828084
2017-10-29,8492465810.74,333871,95819800000,5754.44,2859040000,1925,278.85712501
2017-10-30,10040929639.7,315930,101833000000,6114.85,1772150000,1837.5,263.59097424
2017-10-31,10261139373.5,277397,102130000000,6132.02,2311380000,1725,231.89499927
2017-11-01,12050590910.6,351373,107287000000,6440.97,2870320000,1950,296.93760422
2017-11-02,13198172316.5,341324,112910000000,6777.77,4653770000,1875,277.59079476
2017-11-03,11133920200.3,277479,118084000000,7087.53,3369860000,1487.5,271.77385265
2017-11-04,8075799852.76,293991,119376000000,7164.48,2483800000,1625,273.249729
2017-11-05,7906084143.47,251587,123388000000,7404.52,2380410000,1762.5,197.6563993
2017-11-06,10365132174,270896,123379000000,7403.22,3111900000,1662.5,240.33789733
2017-11-07,13186823103.3,335480,117056000000,7023.1,2326340000,1950,294.12731396
2017-11-08,13615015832.4,301202,119041000000,7141.38,4602200000,1800,262.16939123
2017-11-09,14514360423.9,341128,124146000000,7446.83,3226250000,1912.5,361.32993999
2017-11-10,14919581332.8,271625,119607000000,7173.73,5208250000,1500,319.97295719
2017-11-11,9589797520.28,194554,110362000000,6618.61,4908680000,1000,317.05792683
2017-11-12,11582517510.2,185886,104980000000,6295.45,8957350000,1000,583.61046709
